,min_temp,min_temp,min_temp,min_temp
,min,max,mean,std
state,,,,
AK,-59.1,53.6,-28.521727019498606,26.10553733771126
AL,-57.1,46.9,-11.595238095238095,35.01314967527414
AR,-57.1,19.0,-7.36231884057971,22.61001926170106
AZ,-57.1,37.0,-7.793478260869566,38.67472640490205
CA,-57.1,45.5,3.156151419558359,39.75941336293008
CO,-57.1,14.9,-25.450757575757574,20.28499048844624
CT,-57.1,9.7,-12.361538461538462,25.30062571436647
DC,-57.1,9.3,-23.9,46.95189027078676
DE,-57.1,12.4,1.8099999999999994,20.757887389830618
FL,-57.1,51.8,7.7320197044334975,38.747548109712206
GA,-57.1,26.6,0.2312977099236638,28.440586069828143
HI,-57.1,66.9,11.544736842105262,56.67159399686136
IA,-57.1,-7.6,-18.962711864406778,13.388002005943239
ID,-57.1,3.0,-23.047916666666666,23.098088615620025
IL,-57.1,4.3,-15.736220472440944,17.559037239450323
IN,-57.1,-2.4,-15.828333333333335,17.581906065724347
KS,-57.1,-2.9,-19.951764705882354,22.24063533139234
KY,-57.1,10.9,-13.31132075471698,23.058101032436753
LA,-57.1,55.4,1.7901960784313722,36.96856173016224
MA,-57.1,13.6,-12.530357142857143,23.33079057728304
MD,-57.1,15.3,-4.942105263157895,26.00898846943125
ME,-57.1,28.4,-27.36603773584906,21.87977590410682
MI,-57.1,20.8,-16.75026178010471,19.44559989288757
MN,-57.1,-14.8,-28.098941798941798,10.33454746056545
MO,-57.1,23.0,-20.463529411764707,24.244772863536628
MS,-57.1,34.2,-2.0879310344827586,28.135649345009533
MT,-57.1,5.0,-38.81142857142857,15.945964396620925
NC,-57.1,25.0,-0.9605263157894739,26.708450823971823
ND,-57.1,-17.3,-34.83731343283582,12.075254383679646
NE,-57.1,28.0,-22.961855670103095,16.723034533858343
NH,-57.1,3.7,-24.25588235294118,20.621512615014307
NJ,-57.1,9.9,-12.391489361702128,28.12009052638061
NM,-57.1,15.8,-24.521505376344088,29.320496056744297
NV,-57.1,28.0,-20.582978723404256,34.74076867781748
NY,-57.1,59.2,-21.40097087378641,26.004605531560838
OH,-57.1,8.2,-17.406315789473684,21.505055370655537
OK,-57.1,17.6,-4.903883495145632,20.253505735416
OR,-57.1,28.9,-16.16144578313253,34.57608729336456
PA,-57.1,7.7,-15.70568181818182,24.560965001982943
PR,64.4,69.8,66.5,2.450850192620237
RI,-57.1,8.6,-12.23157894736842,27.843911216150396
SC,-57.1,19.8,-1.246511627906977,29.120058571670327
SD,-57.1,41.0,-27.695833333333336,18.22118194934691
TN,-57.1,14.0,-17.85952380952381,28.272835014687008
TX,-57.1,44.6,2.047184986595174,27.408119703046907
UT,-57.1,19.9,-26.606060606060606,29.71575535890207
VA,-57.1,15.8,-6.417187500000001,26.178906305165718
VI,66.0,70.0,68.0,2.8284271247461903
VT,-57.1,-11.9,-28.438888888888886,16.38687203719486
WA,-57.1,29.7,-16.144444444444446,31.44862100696747
WI,-57.1,0.7,-23.044615384615387,12.486638201367674
WV,-57.1,1.0,-21.08,26.02225042615222
WY,-57.1,-6.0,-33.48095238095238,15.605632328382718
